subject,body,label
Q3 Budget Review Attached,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
You've Won a $1000 Gift Card!,Your package delivery failed due to an incomplete address. Confirm your details at http://appIe-id-locked.com/restore within 48 hours or the package will be returned.,phishing
Your Invoice from Acme Consulting,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Flight Confirmation for Your Upcoming Trip,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Final Notice: Payment Failed,You have a pending refund of $284.50. Verify your bank details at http://irs-gov-refund.net/claim to receive your payment today.,phishing
You've Won a $1000 Gift Card!,Your account has been temporarily locked. Please login at http://bank-login-verify.info/auth to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Project Timeline Update,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Newsletter: This Month's Highlights,"Hi team, attached are the notes from this week's meeting. Let me know if I missed anything. Thanks!",safe
Your Invoice from Acme Consulting,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Confirm Your Identity to Avoid Account Closure,You have a pending refund of $284.50. Verify your bank details at http://bank-login-verify.info/auth to receive your payment today.,phishing
Lunch Plans for Friday?,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Flight Confirmation for Your Upcoming Trip,"Hi team, attached are the notes from this week's meeting. Let me know if I missed anything. Thanks!",safe
Final Notice: Payment Failed,URGENT: Your mailbox has exceeded its storage limit. Click http://appIe-id-locked.com/restore immediately to prevent your account from being deactivated.,phishing
Reminder: Dentist Appointment Tomorrow,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
Newsletter: This Month's Highlights,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
IRS Tax Refund Pending - Action Needed,URGENT: Your mailbox has exceeded its storage limit. Click http://paypal-security-alert.net/update immediately to prevent your account from being deactivated.,phishing
Urgent: Verify Your Account Now,We were unable to process your recent payment. Update your billing details at http://appIe-id-locked.com/restore immediately to avoid service interruption.,phishing
Welcome to the Team!,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Urgent: Verify Your Account Now,Your account has been temporarily locked. Please login at http://bank-login-verify.info/auth to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Your Invoice from Acme Consulting,Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details.,safe
Q3 Budget Review Attached,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Q3 Budget Review Attached,Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details.,safe
IRS Tax Refund Pending - Action Needed,We were unable to process your recent payment. Update your billing details at http://bank-login-verify.info/auth immediately to avoid service interruption.,phishing
Lunch Plans for Friday?,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Project Timeline Update,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Weekly Team Meeting Notes,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Lunch Plans for Friday?,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
Your Account Has Been Suspended,"Dear Customer, we detected unusual activity on your account. Click here http://amaz0n-support.com/confirm to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Urgent: Verify Your Account Now,You have a pending refund of $284.50. Verify your bank details at http://amaz0n-support.com/confirm to receive your payment today.,phishing
Urgent: Verify Your Account Now,Your account has been temporarily locked. Please login at http://amaz0n-support.com/confirm to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Lunch Plans for Friday?,"Hi team, attached are the notes from this week's meeting. Let me know if I missed anything. Thanks!",safe
Welcome to the Team!,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Final Notice: Payment Failed,You have a pending refund of $284.50. Verify your bank details at http://secure-verify-account.com/login to receive your payment today.,phishing
Security Alert: Update Your Password Immediately,Your package delivery failed due to an incomplete address. Confirm your details at http://account-update-now.biz/login within 48 hours or the package will be returned.,phishing
Weekly Team Meeting Notes,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
You've Won a $1000 Gift Card!,You have a pending refund of $284.50. Verify your bank details at http://bank-login-verify.info/auth to receive your payment today.,phishing
IRS Tax Refund Pending - Action Needed,We were unable to process your recent payment. Update your billing details at http://192.168.44.21/verify immediately to avoid service interruption.,phishing
Final Notice: Payment Failed,URGENT: Your mailbox has exceeded its storage limit. Click http://appIe-id-locked.com/restore immediately to prevent your account from being deactivated.,phishing
IRS Tax Refund Pending - Action Needed,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://bank-login-verify.info/auth or your account will be closed.,phishing
Project Timeline Update,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Confirm Your Identity to Avoid Account Closure,Congratulations! You have won a prize. Click http://account-update-now.biz/login now and claim your reward before this limited time offer expires.,phishing
Q3 Budget Review Attached,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Newsletter: This Month's Highlights,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
Your Account Has Been Suspended,We were unable to process your recent payment. Update your billing details at http://bank-login-verify.info/auth immediately to avoid service interruption.,phishing
IRS Tax Refund Pending - Action Needed,We were unable to process your recent payment. Update your billing details at http://appIe-id-locked.com/restore immediately to avoid service interruption.,phishing
Flight Confirmation for Your Upcoming Trip,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Flight Confirmation for Your Upcoming Trip,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Final Notice: Payment Failed,We were unable to process your recent payment. Update your billing details at http://bank-login-verify.info/auth immediately to avoid service interruption.,phishing
Action Required: Unusual Login Detected,"Dear valued customer, our records show your information needs updating. Click http://paypal-security-alert.net/update and enter your login credentials to avoid losing access.",phishing
Your Account Has Been Suspended,URGENT: Your mailbox has exceeded its storage limit. Click http://paypal-security-alert.net/update immediately to prevent your account from being deactivated.,phishing
IRS Tax Refund Pending - Action Needed,Your account has been temporarily locked. Please login at http://bank-login-verify.info/auth to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Project Timeline Update,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
You've Won a $1000 Gift Card!,Your package delivery failed due to an incomplete address. Confirm your details at http://192.168.44.21/verify within 48 hours or the package will be returned.,phishing
Q3 Budget Review Attached,"Hello, your subscription renewal receipt is attached for your records. No action is needed.",safe
Your Package Could Not Be Delivered,Your package delivery failed due to an incomplete address. Confirm your details at http://appIe-id-locked.com/restore within 48 hours or the package will be returned.,phishing
Security Alert: Update Your Password Immediately,Your account has been temporarily locked. Please login at http://amaz0n-support.com/confirm to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Weekly Team Meeting Notes,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Your Account Has Been Suspended,"Dear valued customer, our records show your information needs updating. Click http://amaz0n-support.com/confirm and enter your login credentials to avoid losing access.",phishing
Weekly Team Meeting Notes,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Action Required: Unusual Login Detected,We were unable to process your recent payment. Update your billing details at http://account-update-now.biz/login immediately to avoid service interruption.,phishing
Your Invoice from Acme Consulting,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Your Order Has Shipped,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Final Notice: Payment Failed,Act now! Your subscription will be cancelled unless you confirm your payment information at http://paypal-security-alert.net/update within 24 hours.,phishing
Final Notice: Payment Failed,We were unable to process your recent payment. Update your billing details at http://bank-login-verify.info/auth immediately to avoid service interruption.,phishing
Weekly Team Meeting Notes,"Hello, your subscription renewal receipt is attached for your records. No action is needed.",safe
Security Alert: Update Your Password Immediately,We were unable to process your recent payment. Update your billing details at http://account-update-now.biz/login immediately to avoid service interruption.,phishing
Q3 Budget Review Attached,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Welcome to the Team!,"Hi team, attached are the notes from this week's meeting. Let me know if I missed anything. Thanks!",safe
Your Invoice from Acme Consulting,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Final Notice: Payment Failed,You have a pending refund of $284.50. Verify your bank details at http://amaz0n-support.com/confirm to receive your payment today.,phishing
Q3 Budget Review Attached,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Your Order Has Shipped,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
Project Timeline Update,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Q3 Budget Review Attached,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Confirm Your Identity to Avoid Account Closure,You have a pending refund of $284.50. Verify your bank details at http://irs-gov-refund.net/claim to receive your payment today.,phishing
Action Required: Unusual Login Detected,We were unable to process your recent payment. Update your billing details at http://paypal-security-alert.net/update immediately to avoid service interruption.,phishing
Your Invoice from Acme Consulting,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Lunch Plans for Friday?,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Project Timeline Update,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Your Account Has Been Suspended,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://bank-login-verify.info/auth or your account will be closed.,phishing
Your Order Has Shipped,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
IRS Tax Refund Pending - Action Needed,Your package delivery failed due to an incomplete address. Confirm your details at http://secure-verify-account.com/login within 48 hours or the package will be returned.,phishing
Confirm Your Identity to Avoid Account Closure,You have a pending refund of $284.50. Verify your bank details at http://account-update-now.biz/login to receive your payment today.,phishing
Weekly Team Meeting Notes,Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details.,safe
Your Account Has Been Suspended,You have a pending refund of $284.50. Verify your bank details at http://paypal-security-alert.net/update to receive your payment today.,phishing
Security Alert: Update Your Password Immediately,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://paypal-security-alert.net/update or your account will be closed.,phishing
Project Timeline Update,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
IRS Tax Refund Pending - Action Needed,Congratulations! You have won a prize. Click http://irs-gov-refund.net/claim now and claim your reward before this limited time offer expires.,phishing
You've Won a $1000 Gift Card!,Your package delivery failed due to an incomplete address. Confirm your details at http://secure-verify-account.com/login within 48 hours or the package will be returned.,phishing
Flight Confirmation for Your Upcoming Trip,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Your Order Has Shipped,Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details.,safe
Final Notice: Payment Failed,URGENT: Your mailbox has exceeded its storage limit. Click http://192.168.44.21/verify immediately to prevent your account from being deactivated.,phishing
Weekly Team Meeting Notes,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
Final Notice: Payment Failed,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://irs-gov-refund.net/claim or your account will be closed.,phishing
Action Required: Unusual Login Detected,We were unable to process your recent payment. Update your billing details at http://appIe-id-locked.com/restore immediately to avoid service interruption.,phishing
Action Required: Unusual Login Detected,Your package delivery failed due to an incomplete address. Confirm your details at http://bank-login-verify.info/auth within 48 hours or the package will be returned.,phishing
IRS Tax Refund Pending - Action Needed,Act now! Your subscription will be cancelled unless you confirm your payment information at http://amaz0n-support.com/confirm within 24 hours.,phishing
Weekly Team Meeting Notes,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Your Invoice from Acme Consulting,"Hello everyone, wanted to share an update on the project timeline. We are on track to finish by the end of the month.",safe
Your Account Has Been Suspended,Act now! Your subscription will be cancelled unless you confirm your payment information at http://appIe-id-locked.com/restore within 24 hours.,phishing
Weekly Team Meeting Notes,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
IRS Tax Refund Pending - Action Needed,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://secure-verify-account.com/login or your account will be closed.,phishing
Urgent: Verify Your Account Now,Your account has been temporarily locked. Please login at http://appIe-id-locked.com/restore to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Action Required: Unusual Login Detected,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://irs-gov-refund.net/claim or your account will be closed.,phishing
Your PayPal Account Has Been Limited,Your account has been temporarily locked. Please login at http://appIe-id-locked.com/restore to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Your Account Has Been Suspended,URGENT: Your mailbox has exceeded its storage limit. Click http://paypal-security-alert.net/update immediately to prevent your account from being deactivated.,phishing
Q3 Budget Review Attached,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Action Required: Unusual Login Detected,We were unable to process your recent payment. Update your billing details at http://account-update-now.biz/login immediately to avoid service interruption.,phishing
Flight Confirmation for Your Upcoming Trip,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Your Order Has Shipped,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Your Invoice from Acme Consulting,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
IRS Tax Refund Pending - Action Needed,Your account has been temporarily locked. Please login at http://account-update-now.biz/login to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Action Required: Unusual Login Detected,URGENT: Your mailbox has exceeded its storage limit. Click http://appIe-id-locked.com/restore immediately to prevent your account from being deactivated.,phishing
Urgent: Verify Your Account Now,"Dear Customer, we detected unusual activity on your account. Click here http://amaz0n-support.com/confirm to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Your Order Has Shipped,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
You've Won a $1000 Gift Card!,"Dear Customer, we detected unusual activity on your account. Click here http://secure-verify-account.com/login to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Confirm Your Identity to Avoid Account Closure,"Dear valued customer, our records show your information needs updating. Click http://account-update-now.biz/login and enter your login credentials to avoid losing access.",phishing
Newsletter: This Month's Highlights,Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details.,safe
Action Required: Unusual Login Detected,"Dear valued customer, our records show your information needs updating. Click http://bank-login-verify.info/auth and enter your login credentials to avoid losing access.",phishing
Reminder: Dentist Appointment Tomorrow,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Newsletter: This Month's Highlights,"Hello, your subscription renewal receipt is attached for your records. No action is needed.",safe
Q3 Budget Review Attached,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Confirm Your Identity to Avoid Account Closure,Act now! Your subscription will be cancelled unless you confirm your payment information at http://paypal-security-alert.net/update within 24 hours.,phishing
Welcome to the Team!,"Hi team, attached are the notes from this week's meeting. Let me know if I missed anything. Thanks!",safe
Your Package Could Not Be Delivered,Act now! Your subscription will be cancelled unless you confirm your payment information at http://amaz0n-support.com/confirm within 24 hours.,phishing
Project Timeline Update,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Your Package Could Not Be Delivered,URGENT: Your mailbox has exceeded its storage limit. Click http://appIe-id-locked.com/restore immediately to prevent your account from being deactivated.,phishing
Lunch Plans for Friday?,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Flight Confirmation for Your Upcoming Trip,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Welcome to the Team!,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Your Account Has Been Suspended,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://amaz0n-support.com/confirm or your account will be closed.,phishing
Your Order Has Shipped,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Q3 Budget Review Attached,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Your Order Has Shipped,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Security Alert: Update Your Password Immediately,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://bank-login-verify.info/auth or your account will be closed.,phishing
Your Package Could Not Be Delivered,"Dear valued customer, our records show your information needs updating. Click http://192.168.44.21/verify and enter your login credentials to avoid losing access.",phishing
Project Timeline Update,"Hello, your subscription renewal receipt is attached for your records. No action is needed.",safe
Your PayPal Account Has Been Limited,URGENT: Your mailbox has exceeded its storage limit. Click http://bank-login-verify.info/auth immediately to prevent your account from being deactivated.,phishing
Flight Confirmation for Your Upcoming Trip,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Your Account Has Been Suspended,Your package delivery failed due to an incomplete address. Confirm your details at http://appIe-id-locked.com/restore within 48 hours or the package will be returned.,phishing
Confirm Your Identity to Avoid Account Closure,Your package delivery failed due to an incomplete address. Confirm your details at http://bank-login-verify.info/auth within 48 hours or the package will be returned.,phishing
Security Alert: Update Your Password Immediately,Your account has been temporarily locked. Please login at http://account-update-now.biz/login to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Confirm Your Identity to Avoid Account Closure,Act now! Your subscription will be cancelled unless you confirm your payment information at http://appIe-id-locked.com/restore within 24 hours.,phishing
Your Order Has Shipped,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Your Package Could Not Be Delivered,"Dear valued customer, our records show your information needs updating. Click http://irs-gov-refund.net/claim and enter your login credentials to avoid losing access.",phishing
Q3 Budget Review Attached,"Hi team, attached are the notes from this week's meeting. Let me know if I missed anything. Thanks!",safe
Your PayPal Account Has Been Limited,"Dear valued customer, our records show your information needs updating. Click http://secure-verify-account.com/login and enter your login credentials to avoid losing access.",phishing
Newsletter: This Month's Highlights,"Hi team, attached are the notes from this week's meeting. Let me know if I missed anything. Thanks!",safe
Your PayPal Account Has Been Limited,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://secure-verify-account.com/login or your account will be closed.,phishing
Lunch Plans for Friday?,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Security Alert: Update Your Password Immediately,Congratulations! You have won a prize. Click http://account-update-now.biz/login now and claim your reward before this limited time offer expires.,phishing
Urgent: Verify Your Account Now,We were unable to process your recent payment. Update your billing details at http://secure-verify-account.com/login immediately to avoid service interruption.,phishing
Final Notice: Payment Failed,"Dear Customer, we detected unusual activity on your account. Click here http://secure-verify-account.com/login to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Confirm Your Identity to Avoid Account Closure,URGENT: Your mailbox has exceeded its storage limit. Click http://irs-gov-refund.net/claim immediately to prevent your account from being deactivated.,phishing
Project Timeline Update,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Security Alert: Update Your Password Immediately,We were unable to process your recent payment. Update your billing details at http://bank-login-verify.info/auth immediately to avoid service interruption.,phishing
Security Alert: Update Your Password Immediately,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://bank-login-verify.info/auth or your account will be closed.,phishing
Urgent: Verify Your Account Now,URGENT: Your mailbox has exceeded its storage limit. Click http://amaz0n-support.com/confirm immediately to prevent your account from being deactivated.,phishing
Newsletter: This Month's Highlights,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Confirm Your Identity to Avoid Account Closure,You have a pending refund of $284.50. Verify your bank details at http://192.168.44.21/verify to receive your payment today.,phishing
Reminder: Dentist Appointment Tomorrow,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Confirm Your Identity to Avoid Account Closure,URGENT: Your mailbox has exceeded its storage limit. Click http://account-update-now.biz/login immediately to prevent your account from being deactivated.,phishing
Your Invoice from Acme Consulting,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Newsletter: This Month's Highlights,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Your Order Has Shipped,"Hello, your subscription renewal receipt is attached for your records. No action is needed.",safe
Your PayPal Account Has Been Limited,Congratulations! You have won a prize. Click http://amaz0n-support.com/confirm now and claim your reward before this limited time offer expires.,phishing
Project Timeline Update,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Project Timeline Update,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Your Account Has Been Suspended,"Dear valued customer, our records show your information needs updating. Click http://paypal-security-alert.net/update and enter your login credentials to avoid losing access.",phishing
Action Required: Unusual Login Detected,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://paypal-security-alert.net/update or your account will be closed.,phishing
Reminder: Dentist Appointment Tomorrow,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
Newsletter: This Month's Highlights,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
Your Account Has Been Suspended,You have a pending refund of $284.50. Verify your bank details at http://amaz0n-support.com/confirm to receive your payment today.,phishing
Final Notice: Payment Failed,"Dear valued customer, our records show your information needs updating. Click http://appIe-id-locked.com/restore and enter your login credentials to avoid losing access.",phishing
Your Account Has Been Suspended,"Dear Customer, we detected unusual activity on your account. Click here http://amaz0n-support.com/confirm to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Q3 Budget Review Attached,"Hi, please find attached your invoice for services rendered in August. Payment is due within 30 days as usual.",safe
You've Won a $1000 Gift Card!,We were unable to process your recent payment. Update your billing details at http://secure-verify-account.com/login immediately to avoid service interruption.,phishing
Q3 Budget Review Attached,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Security Alert: Update Your Password Immediately,Act now! Your subscription will be cancelled unless you confirm your payment information at http://bank-login-verify.info/auth within 24 hours.,phishing
Project Timeline Update,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Weekly Team Meeting Notes,"Hi team, attached is the Q3 budget review for your reference ahead of tomorrow's meeting.",safe
Your Order Has Shipped,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Security Alert: Update Your Password Immediately,"Dear valued customer, our records show your information needs updating. Click http://paypal-security-alert.net/update and enter your login credentials to avoid losing access.",phishing
Security Alert: Update Your Password Immediately,"Dear Customer, we detected unusual activity on your account. Click here http://secure-verify-account.com/login to verify your identity immediately or your account will be suspended within 24 hours.",phishing
